timestamp,model,mode,bars,pop,generations,w_rules,w_mlp,seed,out_midi,best_fitness,exit_code
2025-11-10T23:10:52,mlp_hard_3N.pkl,major,8,60,90,0.800,0.200,42,out\mlp_hard_3N__major_8bars__pop60_gen90__wr0p8_wm0p2.mid,0.893200,0
2025-11-10T23:15:23,mlp_hard_3N.pkl,major,8,60,90,0.600,0.400,42,out\mlp_hard_3N__major_8bars__pop60_gen90__wr0p6_wm0p4.mid,0.916100,0
2025-11-10T23:19:49,mlp_hard_3N.pkl,major,8,60,90,0.400,0.600,42,out\mlp_hard_3N__major_8bars__pop60_gen90__wr0p4_wm0p6.mid,0.941500,0
2025-11-10T23:24:16,mlp_hard_3N.pkl,major,8,60,90,0.200,0.800,42,out\mlp_hard_3N__major_8bars__pop60_gen90__wr0p2_wm0p8.mid,0.973700,0
2025-11-10T23:28:52,mlp_hard_3N.pkl,major,8,60,90,0.000,1.000,42,out\mlp_hard_3N__major_8bars__pop60_gen90__wr0p0_wm1p0.mid,1.000000,0
2025-11-10T23:35:29,mlp_hard_3N.pkl,major,16,100,150,1.000,0.000,42,out\mlp_hard_3N__major_16bars__pop100_gen150__wr1p0_wm0p0.mid,0.844600,0
2025-11-11T00:01:45,mlp_hard_3N.pkl,major,16,100,150,0.800,0.200,42,out\mlp_hard_3N__major_16bars__pop100_gen150__wr0p8_wm0p2.mid,0.879800,0
2025-11-11T00:24:00,mlp_hard_3N.pkl,major,16,100,150,0.600,0.400,42,out\mlp_hard_3N__major_16bars__pop100_gen150__wr0p6_wm0p4.mid,0.905200,0
2025-11-11T00:48:53,mlp_hard_3N.pkl,major,16,100,150,0.400,0.600,42,out\mlp_hard_3N__major_16bars__pop100_gen150__wr0p4_wm0p6.mid,0.940800,0
2025-11-11T01:04:29,mlp_hard_3N.pkl,major,16,100,150,0.200,0.800,42,out\mlp_hard_3N__major_16bars__pop100_gen150__wr0p2_wm0p8.mid,0.967300,0
2025-11-11T01:21:10,mlp_hard_3N.pkl,major,16,100,150,0.000,1.000,42,out\mlp_hard_3N__major_16bars__pop100_gen150__wr0p0_wm1p0.mid,0.999800,0
